,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
97,2014/11/16,0,#spam #emailfail #Himtoo,"5,33892E+17",,https://twitter.com/armchairoracle5/status/533891835039453184,0,pictwittercomky0HKncpzf,armchairoracle5
98,2014/11/18,0,#MDLNY #WillHePropose #addictedtothisshow #himtoo,"5,34535E+17",@RyanSerhant,https://twitter.com/DebbieDavidov/status/534535325973217281,0,Who else excited see dance,DebbieDavidov
99,2014/11/23,0,#ActedLikeNothing #HimToo #ThoughtYouWereDead #YouShouldBe #LMFAOC,"5,3647E+17",,https://twitter.com/KeyAwwRuh/status/536470399358226432,0,Daaaaaaaaaaaaaaaaamn Old came haunt tonight,KeyAwwRuh
101,2014/11/30,1,#missher #himtoo,"5,39134E+17",,https://twitter.com/shannonbealee/status/539134443680976896,0,Dollys sleepover Reeces pictwittercomQn9Ffb1XmT,shannonbealee
102,2014/12/01,0,#himtoo #getupoffthemdicks,"5,39293E+17",,https://twitter.com/RSweeney04/status/539293416832507904,0,Just saying http instagramcompwDYHfIsphX,RSweeney04
103,2014/12/01,0,#himtoo #getupoffthemdicks,"5,39442E+17",,https://twitter.com/RSweeney04/status/539441775606525954,0,Just saying http instagramcompwDYHfIsphX,RSweeney04
104,2014/12/03,0,#mefeelingfat #himtoo,"5,40124E+17",,https://twitter.com/nurulamk/status/540124037813657601,0,Bila sama2 debab leh jd camni http instagramcompwJR1vviECv,nurulamk
105,2014/12/06,6,#inlove #withdress #himtoo,"5,41052E+17",,https://twitter.com/lauraparentt/status/541052354813255680,0,take moment thank Bradley buying stunning dress today pictwittercomi7UWaOiq9D,lauraparentt
106,2014/12/06,0,#Cinderella #momLife #missingBabyGirl #HimToo,"5,41082E+17",,https://twitter.com/JessiLegendary/status/541082131418857473,0,Hmm Where chauffer,JessiLegendary
107,2014/12/12,0,#Awaited #anditsme #himtoo #adventurefridays,"5,43514E+17",@Crossroads,https://twitter.com/ChelsayBrewster/status/543513693150273537,0,SOMEBODYS excited see http instagramcompwhXRsmozV8,ChelsayBrewster
108,2014/12/23,3,#himtoo,"5,47354E+17",,https://twitter.com/NEP4L/status/547354216118104064,0,What Bills Mafia reaction Jimmy beats em Sunday,NEP4L
